Saint Francis School,PrivateSchool,Carolina,10.00,9,1,,
"Colegio Radians, Inc.",PrivateSchool,Cayey,10.00,10,0,,
Colegio Rosa-Bell,PrivateSchool,Guaynabo,10.00,10,0,,
"Piaget Bilingual Academy Of Manati, Inc.",PrivateSchool,Manatí,9.00,9,0,,
Colegio Santa Gema,PrivateSchool,Carolina,8.00,6,2,,
Cupeyville School,PrivateSchool,San Juan,8.00,8,0,,
Saint John's School,PrivateSchool,San Juan,8.00,8,0,,
Su Francisco Felicie Martinez,PublicSchool,Vega Alta,8.00,8,0,,
Dr Carlos Gonzalez,PublicSchool,Aguada,7.00,7,0,,
Su Conchita Iguartua De Suarez,PublicSchool,Aguadilla,7.00,5,2,,
Colegio Bautista De Gurabo Inc.,PrivateSchool,Gurabo,7.00,7,0,,
Colegio Evangélico Capitán Correa,PrivateSchool,Hatillo,7.00,7,0,,
Francisco Mendoza,PublicSchool,Isabela,7.00,6,1,,
Su Epifanio Estrada,PublicSchool,Aguada,6.00,5,1,,
Jose De Diego,PublicSchool,Aguadilla,6.00,6,0,,
Republica De Costa Rica,PublicSchool,Caguas,6.00,6,0,,
Emerita Leon Elemental,PublicSchool,Cayey,6.00,6,0,,
Berta Zalduondo,PublicSchool,Fajardo,6.00,5,1,,
LEADERSHIP CHRISTIAN ACADEMY,PrivateSchool,Guaynabo,6.00,6,0,,
Colegio Marista,PrivateSchool,Guaynabo,6.00,4,2,,
Manos Y Manitas Cbs,PrivateSchool,Humacao,6.00,5,1,,
Dr Heriberto Domenech,PublicSchool,Isabela,6.00,6,0,,
Gullermina Rosado De Ayala,PublicSchool,Loiza,6.00,6,0,,
Southwestern Educational Society,PrivateSchool,Mayagüez,6.00,5,1,,
Colegio Ponceno,PrivateSchool,Ponce,6.00,6,0,,
Su Hatillo,PublicSchool,Villalba,6.00,6,0,,
Aquilino Caban,PublicSchool,Aguada,5.00,5,0,,
Juan Suarez Pelegrina (Nueva),PublicSchool,Aguadilla,5.00,4,1,,
Carib Christian School,PrivateSchool,Aguadilla,5.00,3,2,,
Severo E Colberg Ramirez,PublicSchool,Cabo Rojo,5.00,3,2,,
Eduardo Garcia Carrillo,PublicSchool,Canóvanas,5.00,5,0,,
Don Luis Muñoz Marin,PublicSchool,Ceiba,5.00,5,0,,
Su Demetrio Rivera,PublicSchool,Corozal,5.00,5,0,,
Christian Bilingual Academy,PrivateSchool,Fajardo,5.00,4,1,,
Academia Interamericana De Arecibo,PrivateSchool,Hatillo,5.00,5,0,,
Petra Mercado Bougart,PublicSchool,Humacao,5.00,4,1,,
Rafael Martinez Nadal,PublicSchool,Mayagüez,5.00,5,0,,
Academia Adventista Ponce,PrivateSchool,Ponce,5.00,3,2,,
Su Luis Muñoz Rivera,PublicSchool,Quebradillas,5.00,4,1,,
University Gardens,PublicSchool,San Juan,5.00,4,1,,
